Id,Name,Price,Disabled,DueDate,Barrower,Fee,Discount
1,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
2,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
3,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
4,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
5,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
6,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
7,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
8,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
9,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
10,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
11,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
12,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
13,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
14,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
15,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
16,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
17,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
18,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
19,Math & Stats,12.0,Enabled,null,BLANK,0.0,0.0
20,Science,0.0,Enabled,null,BLANK,0.0,0.0
22,Science,0.0,Enabled,null,BLANK,0.0,0.0
23,Science,0.0,Enabled,null,BLANK,0.0,0.0
24,Science,0.0,Enabled,null,BLANK,0.0,0.0
25,Science,0.0,Enabled,null,BLANK,0.0,0.0
26,Science,0.0,Enabled,null,BLANK,0.0,0.0
27,Science,0.0,Enabled,null,BLANK,0.0,0.0
28,Science,0.0,Enabled,null,BLANK,0.0,0.0
29,Science,0.0,Enabled,null,BLANK,0.0,0.0
30,Science,0.0,Enabled,null,BLANK,0.0,0.0
31,Science,0.0,Enabled,null,BLANK,0.0,0.0
32,Science,0.0,Enabled,null,BLANK,0.0,0.0
33,Science,0.0,Enabled,null,BLANK,0.0,0.0
34,Science,0.0,Enabled,null,BLANK,0.0,0.0
35,Science,0.0,Enabled,null,BLANK,0.0,0.0
36,Science,0.0,Enabled,null,BLANK,0.0,0.0
37,Science,0.0,Enabled,null,BLANK,0.0,0.0
38,Science,0.0,Enabled,null,BLANK,0.0,0.0
39,Science,0.0,Enabled,null,BLANK,0.0,0.0
40,Physics,0.0,Disabled,null,BLANK,0.0,0.0
41,Physics,0.0,Disabled,null,BLANK,0.0,0.0
42,Physics,0.0,Disabled,null,BLANK,0.0,0.0
43,Physics,0.0,Disabled,null,BLANK,0.0,0.0
44,Physics,0.0,Disabled,null,BLANK,0.0,0.0
45,Physics,0.0,Disabled,null,BLANK,0.0,0.0
46,Physics,0.0,Disabled,null,BLANK,0.0,0.0
47,Physics,0.0,Disabled,null,BLANK,0.0,0.0
48,Physics,0.0,Disabled,null,BLANK,0.0,0.0
49,Physics,0.0,Disabled,null,BLANK,0.0,0.0
50,Physics,0.0,Disabled,null,BLANK,0.0,0.0
51,Physics,0.0,Disabled,null,BLANK,0.0,0.0
52,Physics,0.0,Disabled,null,BLANK,0.0,0.0
53,Physics,0.0,Disabled,null,BLANK,0.0,0.0
54,Physics,0.0,Disabled,null,BLANK,0.0,0.0
55,Physics,0.0,Disabled,null,BLANK,0.0,0.0
56,Physics,0.0,Disabled,null,BLANK,0.0,0.0
57,Physics,0.0,Disabled,null,BLANK,0.0,0.0
58,Physics,0.0,Disabled,null,BLANK,0.0,0.0
59,Physics,0.0,Disabled,null,BLANK,0.0,0.0
